ID	2MASS
205	2M19322817-0454283
206	2M21380289+5037030
207	2M23293672+4822513
208	2M05122466+4816538
209	2M04125427+6647203
210	2M04563331+6345566
211	2M19575932+2714001
212	2M19562230+2626258
213	2M20383016+2119439
214	2M02273460+4813548
215	2M05271779+1308569
216	2M23570808+6118272
217	2M22165865+6738450
218	2M04454937+4323302
219	2M05580029+2437017
220	2M02571539+4601118
221	2M05441926+5241437
222	2M04503901+3243187
223	2M04493134+3313091
224	2M04480651+3359160
225	2M04471508+3319154
226	2M02374876+5248458
227	2M01062254+6210312
228	2M03145531+4841448
229	2M21504079+5518451
230	2M22142219+4206020
231	2M06425867-0048256
232	2M06552851+2430188
A37	2M22082542+5413262
A38	2M22425730+4443183
A39	2M21523408+4713436

