CENT		LABEL		TYPE	LOGGF	E_LO		E_HI		NOTE
15150.804	N_I		    E1	-1.2742	10.931756	11.750090	---
15195.996	H_I_Br20	E1	-1.4868	12.748537	13.564437	---
15264.708	H_I_Br19	E1	-1.4143	12.748537	13.560765	---
15298.740	Fe_I		E1	 0.7193	 5.308489	 6.118909	---
15338.903	[Fe_II]		E2	-9.6744	 0.232169	 1.040468	---
15345.982	H_I_Br18	E1	-1.3373	12.748537	13.556463	---
15404.285   S_I         E1   0.3519  8.699308    9.504176   ---
15408.000   S_I         E1   0.5226  8.699499    9.504173   ---
15426.490   S_I         E1   0.6847  8.700462    9.504172   ---
15443.139	H_I_Br17	E1	-1.2549	12.748537	13.551380	---
15474.043   S_I         E1  -0.2151  8.045205    8.846445   ---
15482.711   S_I         E1   0.0068  8.045654    8.846445   ---
15500.391	N_I		    E1	-0.6782	12.121956	12.921834	---
15560.699	H_I_Br16	E1	-1.1664	12.748537	13.545315	---
15586.545	N_I		    E1	-0.0225	12.126377	12.921834	---
15626.265   Fe_I        E1   0.5855  5.539242    6.332694   ---
15687.160	N_I		    E1	-0.4748	12.121956	12.912311	---
15704.952	H_I_Br15	E1	-1.0709	12.748537	13.537996	---
15723.300	He_II		E1	 0.1967	53.307238	54.095775	---
15745.016	Mg_I		E1	-0.2118	 5.931542	 6.718992	---
15753.291	Mg_I		E1	 0.1402	 5.931951	 6.718987	blend(MG_I,15753.189)
15760.000	?15760		??	-------	-------		-------		unknownID
15770.149	Mg_I		E1	 0.4108	 5.932787	 6.718983	blend(MG_I,15770.055)
15773.732   Fe_I        E1   0.6998  5.539242    6.325259   ---
15775.409	N_I		    E1	-0.8045	12.126377	12.912311	---
15884.880	H_I_Br14	E1	-0.9668	12.748537	13.529054	---
15892.771	Si_I		E1	-0.0068	 5.082346	 5.862475	---
15896.945	O_I		    E1	-0.1808	12.286193	13.066117	---
15919.160	C_II		E1	-0.2656	22.043587	22.822424	---
15964.422	Si_I		E1	 0.1976	 5.984009	 6.760637	---
15999.086	[Fe_II]		E2	-9.6678	 0.301294	 1.076239	---
16009.270	C_I		    E1	 0.2338	 9.631069	10.405522	---
16026.080	C_I		    E1	 0.2223	 9.631069	10.404709	---
16085.150	He_		    E1	-1.4777	23.736101	24.506900	---
16099.1805	Si_I		E1	-0.0771	 5.963927	 6.734054	---
16113.714	H_I_Br13	E1	-0.8524	12.748537	13.517970	---
16136.320	C_II		E1	 0.2147	26.582746	27.351101	---
16151.670	C_II		E1	-0.2767	25.984167	26.751791	---
16164.670	[Fe_II]		E2	-------	 3.386618	 4.153626	---
16164.680	He_I		E1	-1.4316	23.707902	24.474908	---
16169.300	C_II		E1	 0.4683	26.585923	27.352710	---
16216.478	O_I		    E1	 0.1129	14.460411	15.224968	---
16256.089	[Fe_II]		E2	-------	 3.386618	 4.149312	---
16382.23	He_I		E1	-1.3520	23.736101	24.492922	---
16411.674	H_I_Br12	E1	-0.7252	12.748537	13.504001	---
16565.590	Ca_II		E1	 0.3675	 9.234952	 9.983396	---
16618.421	[Fe_II]		E2	-------	 3.221311	 3.967376	---
16642.208	[Fe_II]		E2	-9.8766	 0.351861	 1.096859	---
16654.430	Ca_II		E1	 0.6264	 9.239518	 9.983970	---
16667.280	Ca_II		E1	-0.3269	 9.239518	 9.983396	---
16678.520	He_I		E1	-1.2776	23.707902	24.451278	---
16685.341	Si_I		E1	-0.1174	 5.984009	 6.727081	---
16731.220	C_II		E1	-0.3453	21.732864	22.473899	---
16751.850	C_II		E1	-0.0416	21.733777	22.473899	---
16764.800	Mg_II		E1	 0.4808	12.082894	12.822444	---
16773.342	[Fe_II]		E2	-9.6937	 0.301294	 1.040468	---
16780.470	He_I		E1	-1.2104	23.736101	24.474961	---
16781.000	?16781		??	---	---		---		unknownID
16786.0293	He_I		E1	-1.3202	23.736346	24.474961	---
16791.762	Fe_II		E1	-2.2278	 5.484132	 6.222495	---
16801.152	He_I		E1	-1.2903	23.737018	24.474969	---
16804.520	Mg_II		E1	 0.7369 12.084605	12.822407	blend(Mg_II,16803.67)
16811.111	H_I_Br11	E1	-0.5819	12.748537	13.486051	---
16877.808	Fe_II		E1	-1.2556	 5.484132	 6.218731	---
16895.031	C_I		    E1	 0.5340	 9.002581	 9.736431	---
16911.430	Si_II		E1	 0.3505	12.146990	12.880128	---
16922.990	He_II		E1	 0.3934	53.307238	54.039875	---

